"日期","应用名称","广告类型","DAU","DEU","渗透率","应用请求","应用填充","应用填充率","竞价请求","竞价响应","竞价响应率","竞价胜出率","请求","填充","填充率","广告Ready率","查询 isReady","查询Ready率","展示","展示 / DAU","展示 / DEU","展示率","点击","点击率","eCPM","eCPC","预估收入","ARPDAU(￠)","ARPDEU(￠)"
"2026-08-31 (一)","iOS_lοkIоk - rivo","开屏","3,876","2,343","60.45%","3,923","3,779","96.33%","29,161","13,859","47.53%","139.69%","19,360","6,382","32.96%","-","3,344","100.00%","4,074","1.05","1.74","63.84%","2,247","55.15%","$2.20","0.40￠","$8.97","0.06","0.10"
"2026-08-31 (一)","iOS_lοkIоk - rivo","插屏","3,876","1,425","36.76%","9,838","9,003","91.51%","87,649","42,059","47.99%","252.92%","106,375","18,713","17.59%","-","20,318","81.06%","4,290","1.11","3.01","22.93%","1,694","39.49%","$2.08","0.53￠","$8.93","0.05","0.14"
"2026-08-31 (一)","iOS_lοkIоk - rivo","横幅","3,876","2,597","67.00%","28,494","20,663","72.52%","107,752","43,562","40.43%","62.35%","27,159","26,299","96.83%","-","-","-","16,788","4.33","6.46","63.84%","197","1.17%","$0.08","0.68￠","$1.34","0.01","0.02"
"2026-08-31 (一)","iOS_lοkIоk - rivo","原生","3,876","1,484","38.29%","33,876","13,513","39.89%","119,005","23,390","19.65%","98.88%","23,129","22,449","97.06%","-","-","-","2,838","0.73","1.91","12.64%","1","0.04%","$0.15","42.27￠","$0.42","0.01","0.02"
"2026-08-31 (一)","iOS_MovieBоx - solen","激励视频","1,958","990","50.56%","10,527","8,826","83.84%","56,281","28,294","50.27%","376.94%","106,650","13,813","12.95%","-","5,192","76.91%","4,287","2.19","4.33","31.04%","1,098","25.61%","$1.89","0.74￠","$8.09","0.21","0.42"
"2026-08-31 (一)","iOS_MovieBоx - solen","插屏","1,958","973","49.69%","10,949","8,530","77.91%","56,162","32,645","58.13%","309.11%","100,910","14,064","13.94%","-","102,896","30.40%","3,423","1.75","3.52","24.34%","1,155","33.74%","$1.26","0.37￠","$4.32","0.08","0.17"
"2026-08-31 (一)","iOS_MovieBоx - solen","开屏","1,958","795","40.60%","1,778","1,518","85.38%","11,850","8,355","70.51%","92.15%","7,699","2,167","28.15%","-","1,158","100.00%","1,246","0.64","1.57","57.50%","648","52.01%","$1.57","0.30￠","$1.95","0.03","0.07"
"2026-08-31 (一)","iOS_MovieBоx - solen","横幅","1,958","1,171","59.81%","14,010","9,480","67.67%","61,442","17,136","27.89%","93.60%","16,040","14,862","92.66%","-","-","-","7,987","4.08","6.82","53.74%","41","0.51%","$0.05","0.92￠","$0.38","0.01","0.01"
"2026-08-31 (一)","iOS_MovieBоx - solen","原生","1,958","736","37.59%","26,490","7,871","29.71%","141,547","11,842","8.37%","98.43%","11,656","10,550","90.51%","-","-","-","1,451","0.74","1.97","13.75%","4","0.28%","$0.06","2.25￠","$0.09","-","0.01"
"2026-08-31 (一)","安卓_Moviebox - zodia","激励视频","7,317","1,323","18.08%","17,024","8,681","50.99%","120,899","45,269","37.44%","256.04%","115,908","13,260","11.44%","86.04%","897,144","4.71%","4,945","0.68","3.74","37.29%","899","18.18%","$1.71","0.94￠","$8.46","0.06999999999999999","0.39"
"2026-08-31 (一)","安卓_Moviebox - zodia","插屏","7,317","1,344","18.37%","15,427","8,794","57.00%","108,329","44,477","41.06%","225.68%","100,374","14,616","14.56%","-","24,085","14.22%","3,622","0.50","2.69","24.78%","911","25.15%","$1.09","0.43￠","$3.95","0.02","0.13"
"2026-08-31 (一)","安卓_Moviebox - zodia","开屏","7,317","1,534","20.96%","12,211","7,144","58.50%","54,069","16,393","30.32%","129.87%","21,290","10,196","47.89%","-","10,257","21.10%","2,184","0.30","1.42","21.42%","1,073","49.13%","$1.21","0.25￠","$2.64","0.01","0.06"
"2026-08-31 (一)","安卓_Moviebox - zodia","横幅","7,317","2,405","32.87%","22,778","13,373","58.71%","149,737","25,600","17.10%","81.84%","20,952","18,208","86.90%","-","-","-","10,067","1.38","4.19","55.29%","182","1.81%","$0.13","0.73￠","$1.34","0.01","0.03"
"2026-08-31 (一)","安卓_Moviebox - zodia","原生","7,317","642","8.77%","14,646","2,868","19.58%","49,078","3,681","7.50%","98.53%","3,627","3,153","86.93%","-","-","-","996","0.14","1.55","31.59%","2","0.20%","$0.08","3.77￠","$0.08","-","0.01"
"2026-08-31 (一)","iOS_LОKTV - vexa","激励视频","6,369","3,578","56.18%","57,018","32,377","56.78%","347,018","172,309","49.65%","301.10%","518,827","49,741","9.59%","-","134,622","70.50%","18,777","2.95","5.25","37.75%","4,638","24.70%","$3.50","1.42￠","$65.67","0.49","0.88"
"2026-08-31 (一)","iOS_LОKTV - vexa","插屏","6,369","2,296","36.05%","18,858","18,123","96.10%","160,625","103,434","64.39%","194.85%","201,536","37,757","18.73%","-","30,043","87.31%","6,983","1.10","3.04","18.49%","2,190","31.36%","$2.47","0.79￠","$17.22","0.08","0.22"
"2026-08-31 (一)","iOS_LОKTV - vexa","开屏","6,369","3,721","58.42%","6,472","6,151","95.04%","55,718","41,271","74.07%","75.83%","31,295","9,953","31.80%","-","5,348","100.00%","6,435","1.01","1.73","64.65%","3,054","47.46%","$2.42","0.51￠","$15.56","0.06999999999999999","0.12"
